REALLOC (&args_t)->elements @ 0000000000000000 with ((&args_t)->capacity) * sizeof(ty) (16) -> @ 0000016CB719ADB0 | ast.c:638
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A50 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719ADD0 | tokens.c:136
FREE (t)->string @ 0000016CB71A2A50 | ast.c:641
FREE t @ 0000016CB719ADD0 | ast.c:641
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A90 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719ADD0 | tokens.c:136
FREE t @ 0000016CB719ADD0 | ast.c:632
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A50 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
FREE (t)->string @ 0000016CB71A2A50 | ast.c:636
FREE t @ 0000016CB719AFB0 | ast.c:636
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2AB0 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AE10 | tokens.c:136
MALLOC strlen(t->string) + 1 (2) @ 0000016CB71A2AC0 | ast.c:213
FREE (t)->string @ 0000016CB71A2AB0 | ast.c:217
FREE t @ 0000016CB719AE10 | ast.c:217
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A50 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
REALLOC ty @ 0000016CB71A2AC0 with len + 1 (5) -> @ 0000016CB71A2A60 | ast.c:222
FREE (t)->string @ 0000016CB71A2A50 | ast.c:226
FREE t @ 0000016CB719AFB0 | ast.c:226
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A50 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
FREE (t)->string @ 0000016CB71A2A50 | ast.c:645
FREE t @ 0000016CB719AFB0 | ast.c:645
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A50 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719ADD0 | tokens.c:136
FREE (t)->string @ 0000016CB71A2A50 | ast.c:508
FREE t @ 0000016CB719ADD0 | ast.c:508
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2A50 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
MALLOC sizeof(Expression) (32) @ 0000016CB71A56E0 | ast.c:263
FREE t @ 0000016CB719AFB0 | ast.c:285
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2AB0 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
MALLOC sizeof(Expression) (32) @ 0000016CB71A5860 | ast.c:263
FREE (t)->string @ 0000016CB71A2AB0 | ast.c:273
FREE t @ 0000016CB719AFB0 | ast.c:273
FREE expr @ 0000016CB71A5860 | ast.c:274
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2AB0 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
FREE (t)->string @ 0000016CB71A2AB0 | ast.c:428
FREE t @ 0000016CB719AFB0 | ast.c:428
MALLOC sizeof(Expression) (32) @ 0000016CB71A5710 | ast.c:429
MALLOC sizeof(Expression) (32) @ 0000016CB71A5AD0 | ast.c:263
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2AB0 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
FREE t @ 0000016CB719AFB0 | ast.c:285
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2AC0 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719AFB0 | tokens.c:136
FREE (t)->string @ 0000016CB71A2AC0 | ast.c:279
FREE t @ 0000016CB719AFB0 | ast.c:279
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2AC0 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719ADD0 | tokens.c:136
FREE (t)->string @ 0000016CB71A2AC0 | ast.c:368
FREE t @ 0000016CB719ADD0 | ast.c:368
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A2AC0 | tokens.c:98
MALLOC sizeof(Token) (16) @ 0000016CB719ADD0 | tokens.c:136
FREE t @ 0000016CB719ADD0 | ast.c:239
MALLOC sizeof(Expression) (32) @ 0000016CB71A5BC0 | ast.c:240
MALLOC tok_cap * sizeof(char) (8) @ 0000016CB71A5FA0 | tokens.c:98
